标题	面积	单价	总价
贰号城邦3室毛坯，带车位带储藏室，有证可贷款看房有钥匙	124㎡	6	86
西城区花园式小区电梯洋房精装修132平南北通透	132㎡	5	79
郾城区 天鑫现代城 123平 带车位 三室两卫 有证可贷款	123㎡	5	63
建业云熙府洋房，一梯两户，三室二厅南北双阳台，随时看房	137㎡	6	95
急售 东外滩旁森林湖 电梯小高层有证72w 3室2厅2卫	125㎡	5	72
西城凤凰府 三室两厅两卫 好楼层无遮挡 南北通透随时看房	127㎡	6	83
急售建业花园里精装未住三房两卫全天光线看房密码锁	127㎡	7	100
嘉业城市花园三期，三室两厅两卫，南边通透，装修即可入住。	132㎡	6	89
昌建誉峰十楼毛坯三室  86万诚意出售	132㎡	6	86
西城丹江路3房81万带车位，带中央空调	137㎡	5	81
会展中心碧桂园云顶中间好楼层有证可贷款紧邻郾城中  	127㎡	6	86
金鼎滨河花园，临河堤精装领包入住 ，看房有钥匙	125㎡	6	77
昌建苏荷花千树 会展中心 楼龄新 近医院 双卫格局	114㎡	7	85
苏荷花千树，三室二厅边户，南北通透双阳台，采光好	126㎡	7	92
建业贰号城邦边户南北通透采光极好无遮挡紧邻尚书房碧桂园急售	126㎡	7	89
急售建业贰号城邦 三室 带车位 储藏室 有证满五  可贷款	126㎡	6	86
碧桂园云顶  中间好楼层  随时看房 可谈	125㎡	6	85
碧桂园沙河珑湾 次新房 商圈成熟 南北通透 双卫生间	128㎡	7	92
恒大名都临河精装三室带地暖拎包入住好楼层	130㎡	6	83
人民路君悦府好楼层户型方正合理采光好证件齐全可贷款方便看房	122㎡	6	76
广鑫帝景城，精装修领包入住，看房方便，邻东外滩，御园	132㎡	6	83
急售 长申玉 人车分流 邻象湾壹号 江山印 丰泽园	124㎡	6	75
会展中心花钱树一高附近大三房好楼层有证可贷款	129㎡	6	90
象湾壹号中间楼层毛坯3室，南北通透采光通风很好，有证可贷款	125㎡	6	78
急售会展中心附近 苏荷花千树 三室两厅两卫 好楼层，看房方便	124㎡	7	98
送大平台！急售西城区天鑫丽水湾三室两厅两卫有证	128㎡	5	72
泰威森林湖精装三房有证可贷款紧邻御园东外滩双汇金誉府	131㎡	5	76
尚书房好楼层靠近市中心有证可贷款边户紧挨贰号城邦三室两厅两卫	123㎡	6	74
龙泰观澜 楼龄新 有电梯 板楼 精装可拎包入住 河景房	125㎡	6	85
西城区西溪花园好楼层，边户，三室两厅两卫，南边通透。	133㎡	5	73
超宽大阳台！全天采光中间好楼层昌建誉峰大三室有证可贷款	132㎡	6	82
钟楼广场淞江国际花园婚房精装3室业主急售随时看房可贷款	131㎡	6	79
临河御园 河景房 好位置110平阳光3室阔景阳台边户 75万	110㎡	6	74
急售壹号城邦精装修12楼临花千树  府五悦里云顶中梁新筑红澄	125㎡	6	85
泰威森林湖精装125平三室两厅两卫有钥匙可以看房	125.6㎡	5	72
恒大名都一线河景精装拎包入住看房方便临恒大御景苏荷尚郡悦澜轩	136㎡	5	78
