标题	面积	单价	总价
五福玲珑居北区 2015年楼龄 电梯高层 南北二居 看房随时	72.38㎡	69080元/㎡	500万元
新上九号线六里桥东 太平桥西里三居室 邻公园 近地铁	69.3㎡	62915元/㎡	436万元
西二环低总价一居室，随时看房	49.77㎡	76151元/㎡	379万元
南宫景苑  三居室 公摊小无遮挡 自住装修 满五住房	90.82㎡	34134元/㎡	310万元
次新房 杜家坎 中高楼层 三室两卫 全明户型 诚心卖	89㎡	53933元/㎡	480万元
南湖东园 新上板楼南北两居 前后不临街  我家老业主满五  	61.52㎡	73147元/㎡	450万元
总监推荐新龙城 落地大窗 电梯中间层   明厨明卫	86.98㎡	55071元/㎡	479万元
业主诚意！满五  ！三环！13年次新盘！10号线！7号线！	86.75㎡	89914元/㎡	780万元
新龙城满五  三居室 眼睛户型 南北通透 全明格局	115.39㎡	45845元/㎡	529万元
四百二十可卖五棵松永定路南北通透三居室业主诚心出售 看房钥匙	69.49㎡	68068元/㎡	473万元
正规三居室 国企经开壹中心小区 经海路站旁 随时看房 诚心卖	91.25㎡	55343元/㎡	505万元
五道口展春园 满五   社区中间南北通透 使用面积大	55.6㎡	78777元/㎡	438万元
C21本周必看好房 润枫领尚 3室 1厅 88平米	88㎡	46591元/㎡	410万元
住总万科橙 满五   临地铁 正规商品房 装修好 交通便捷	91.2㎡	45615元/㎡	416万元
沿海赛洛城(北区) 近地铁 板楼   清晰 大两房 近医院	102.25㎡	52617元/㎡	538万元
百子湾 带电梯 交通便捷 商品房 刚需两居 近医院 集中供暖	92㎡	62500元/㎡	575万元
（我了解底价）金隅万科小区,品质小区,2居室 换房出售	84.47㎡	37292元/㎡	315万元
延静西里 出行方便 南北通透 商业配套齐全   清晰 近地铁	68.05㎡	56577元/㎡	385万元
700 高楼层 南北通透 双飘窗来电惊喜	96㎡	80000元/㎡	768万元
买房0鏞金 聚兴园 2室1厅 91.43平	91.43㎡	55343元/㎡	506万元
(优选好房)满五年地总价东南精装修两居室业主诚意出售	88.86㎡	48954元/㎡	435万元
宋家庄 地铁口 商品房 10年社区 性价比 三居	89.35㎡	52491元/㎡	469万元
望京南湖东园二区2室1厅 精装修 东西通透大两居 满五年  	85.44㎡	69991元/㎡	598万元
新上方庄近地铁芳群园客厅的南向两居有钥匙	68.68㎡	52418元/㎡	360万元
丽景长安 公园绿化 人车分流 经典南户型 采光充足 价格可谈	88.74㎡	34709元/㎡	308万元
丰台站2002年商品房 华林家园 南北通透两居 满五  	89.54㎡	57517元/㎡	515万元
总监推荐 五道口区域 低总价两居 满五  	61.15㎡	70156元/㎡	429万元
劲松潘家园精装小三居 满两年商品房，相当于满五  	66.03㎡	52855元/㎡	349万元
总监推荐，茉藜园精装俩居室，诚意出售	102.61㎡	51165元/㎡	525万元
回龙观 满五   刚需两居 精装修 商品住宅 南北通透	98.93㎡	36188元/㎡	358万元
白家庄东里，东三环边，楼龄新，近地铁，电梯高楼层	80.31㎡	60391元/㎡	485万元
保利罗兰香谷 精装三居 河景房 满五   楼龄新 南北通透	91.11㎡	52684元/㎡	480万元
（业主直签！有钥匙！高原 ！）润泽悦溪三期两居室！	91.22㎡	76628元/㎡	699万元
东四块玉北街 2室 1厅 71.83平米	71.83㎡	73786元/㎡	530万元
通透两居 带储物间  双阳台 精装修	62.44㎡	66945元/㎡	418万元
阳光板楼   三居 ，南北通透双主卧双阳台，商品房	90.28㎡	57488元/㎡	519万元
西四环 丰体时代 南向两居 高楼层 满五年一套 诚心出售	91.55㎡	43474元/㎡	398万元
买房0慵金 聚兴园 2室1厅 97.36平	97.36㎡	53411元/㎡	520万元
（新增两居）洋房社区 满五年 全景视野 价格可谈 诚意出售	89.55㎡	62312元/㎡	558万元
大钟寺皂君庙 通透全明三居  特别着急卖，管理好 有物业	78.3㎡	71520元/㎡	560万元
鲁谷  京汉旭城2居南北1梯两户，花园小区，高楼层非顶层	94.24㎡	62076元/㎡	585万元
安贞环宇荟 中粮自管楼 电梯大两居 南北通透采光好 随时看房	74.48㎡	68207元/㎡	508万元
（靓妆直接住）CBD双井，南向双卫三居，商本，楼间距大	139㎡	55756元/㎡	775万元
筑华年南北通透正对小区  业主诚心出售	71.58㎡	60772元/㎡	435万元
（我了解底价）金隅万科小区,品质小区,2居室 换房出售	84.47㎡	37292元/㎡	315万元
靠谱签约 西山枫林二期 两居室 中间位置 可贷243萬	83.43㎡	52619元/㎡	439万元
西四环青塔 万科紫苑D区 地铁14号线 前后带20平平台	92.04㎡	70622元/㎡	650万元
急 急 急！三环新城7号院 临地铁 刚需两居  停车方便	88.82㎡	50102元/㎡	445万元
北苑 鑫兆丽园 南北通透 低楼层两居 小区里面安静 满五  	85.68㎡	58357元/㎡	500万元
新首付    买大两居地铁6号线黄渠站全南电梯房急售	103.7㎡	48120元/㎡	499万元
劲松八区南北通透田字格3居室 钢混结构	80.35㎡	58495元/㎡	470万元
东花市 正规商品房 购物方便 医疗配套成熟 临地铁 精装修	63.74㎡	87857元/㎡	560万元
金隅万科一期 两室一厅一卫 满五	90.03㎡	38765元/㎡	349万元
次新房 杜家坎 中高楼层 三室两卫 全明户型 诚心卖	89㎡	53933元/㎡	480万元
满五   ，精装修 ，自住，保持不错 ，看房方便	98.58㎡	52648元/㎡	519万元
海淀嘉郡 95.97平 报价4    3室1厅1卫	95.97㎡	49808元/㎡	478万元
高米店 兴华 金地仰山 高层 南北三居 业主急售	89.95㎡	52029元/㎡	468万元
金泉家园 婚房装修 业主自住 保持好 视野好无遮挡	89㎡	75281元/㎡	670万元
东大街西里南北户型~明厨明卫采光好~看房随时~	72.6㎡	53031元/㎡	385万元
常营  富力阳光美园  2室  1厅 南北通透 采光好	88.98㎡	51473元/㎡	458万元
朝阳公园 秀水园南北通透 两居电梯房观景房 满五年  楼龄新	60.98㎡	68056元/㎡	415万元
正规三居室 国企经开壹中心小区 经海路站旁 随时看房 诚心卖	91.25㎡	55343元/㎡	505万元
方舟苑三期（城市月光） 东南朝向 业主急售 有钥匙 高层	90.34㎡	64202元/㎡	580万元
朝青 国美2号院，两梯四户全南两居，小区前排无遮挡，拎包入住	95.94㎡	62018元/㎡	595万元
（优选好房）南向观园林，富力又一城，五环外	88.23㎡	51570元/㎡	455万元
婚房装修，远洋  2居室，双朝向	77.16㎡	65449元/㎡	505万元
价格有惊喜 洋房板楼带电梯  户型方正     有钥匙随时看	86.81㎡	60938元/㎡	529万元
东五环南北通透两居室 户型方正 随时看房	90.69㎡	54913元/㎡	498万元
南北通透  2018年的房 不临街 中高层 无遮挡 电梯房	87.72㎡	60420元/㎡	530万元
安慧里二区 东南向 两室两厅 精装修 满5年   高楼层	70.36㎡	69784元/㎡	491万元
朝阳区惠新西街樱   南向两居 高楼层采光好 近地铁	60.19㎡	69780元/㎡	420万元
青年城新上  南北两居，低总价，高品质，一梯两户，交通便利	73.5㎡	61089元/㎡	449万元
望京西园三区 东南可2居 安静采光好 大阳台 价可谈 有钥匙	87.34㎡	61255元/㎡	535万元
新上方庄近地铁芳群园客厅的南向两居有钥匙	68.68㎡	52418元/㎡	360万元
中建国际港,2居室,1厅	90.05㎡	43865元/㎡	395万元
业主急售变现，满五年  ，低楼层，方正客厅带阳台，看房提前约	64.62㎡	64996元/㎡	420万元
朝阳区大望路后现代城两居室！满五  ！近地铁！配套齐全！	91.65㎡	68195元/㎡	625万元
东四环 大望路 国贸商圈 一号线 四惠 南北通透 高档装修	87.73㎡	54600元/㎡	479万元
东四环 四惠 南北通透二居  带电梯  户型方正 地铁一号线	90.91㎡	57200元/㎡	520万元
东三环2005年小区 双井地铁站附近商品房满五   户型实用	125.7㎡	53700元/㎡	675万元
朝阳东五环常营板块 富力阳光美园西南三居 户型方正 诚意出售	88.88㎡	55131元/㎡	490万元
业主急售 好房直推 南北通透两居 中间楼层 满五年  	89.75㎡	51254元/㎡	460万元
朝青 大悦城 青年汇佳园 东南两居室 观  	72㎡	73334元/㎡	528万元
低密宜居 环境优美 交通便利 精装修 购物方便实际面积130	88.83㎡	71823元/㎡	638万元
世华泊郡 优选南向一居 纯商品房 满五   中高楼层 诚售！	66.28㎡	75136元/㎡	498万元
新上中间层明厅  永泰东里 2室  1厅 满五  商品房	64.87㎡	67674元/㎡	439万元
安家 西三旗建材城东一里 南北向二居明厅户型看房方便价格能谈	65.31㎡	53591元/㎡	350万元
总价低！首付130W！能租8000！双卫设计！观园区不临街！	96.3㎡	47456元/㎡	457万元
东二环边 劲松五区  低楼层 经典3居田字格户型 带车位	72.8㎡	60303元/㎡	439万元
新上 樱  南北通透全明格局两居采光好精装中间4层满五年  	55.96㎡	73267元/㎡	410万元
价格能刀业主诚心卖看房随时 建兴家园3室2厅 普装	117.15㎡	35767元/㎡	419万元
朝阳区双井富力城D区1室1厅	70.12㎡	85283元/㎡	598万元
龙泽  新龙城  2室  1厅	97.6㎡	47029元/㎡	459万元
金隅万科三期 南北通透 落地窗 市政供暖 有钥匙 价格可议	92.39㎡	36260元/㎡	335万元
441W 望京花园西区 两室两厅 6层 法拍房	80.49㎡	62120元/㎡	500万元
甄选 常营 全南向两居 正对   采光好 业主诚意出售	88.68㎡	50745元/㎡	450万元
芍药居北里，低总价两居，自住精装，急售变现，  清晰，随时签	67㎡	71642元/㎡	480万元
  双南两居芍药居北里 南两居带电梯 无遮挡 视野好满五  	73.59㎡	67809元/㎡	499万元
2006年！电梯板楼，南北通透2居，一梯两户，总高10层	87.54㎡	50263元/㎡	440万元
保利春天里 正南朝向 停车方便 有电梯 集中供暖   清晰	84.47㎡	37410元/㎡	316万元
新上 清河 怡清园小区 正规两居  宽厅  南北通透	86.55㎡	65281元/㎡	565万元
大区必卖朝阳门外，三丰里95年电梯房，无浪费面积，有钥匙	60.65㎡	77494元/㎡	470万元
有钥匙 低总价 明厨明卫 正观园区一居室 双地铁达官营	52.48㎡	83651元/㎡	439万元
回龙观 满五   刚需两居 精装修 商品住宅 南北通透	98.93㎡	36188元/㎡	358万元
近地铁 医疗配套成熟 高楼层采光充足 板楼 商业配套成熟	60.61㎡	76721元/㎡	465万元
祥云小镇旁，电梯洋房，全景落地窗，LDK一体式设计，随时看房	113.06㎡	50328元/㎡	569万元
华业A，南北通透三居，低总价，高楼层，视野无遮挡	96.3㎡	35203元/㎡	339万元
合生滨江帝景 可观运河  次新社区 满五  	88.94㎡	44750元/㎡	398万元
惠新西街惠新里干休所，户型方正，没有遮挡，安静不临街，急售	67.1㎡	81968元/㎡	550万元
南北三居 带明厨 户型好 位置安静 随时看	68.44㎡	68382元/㎡	468万元
太平路42号院南北两居  满五年   精装修  业主诚心出售	41.27㎡	103708元/㎡	428万元
双井  百环家园  1室  1厅	57.43㎡	55372元/㎡	318万元
太阳宫 西坝河北里 央产房管理好 电梯房三居室	77.08㎡	65517元/㎡	505万元
（优选好房） 南北通透顶层  三居 功能性强 使用面积大	91.26㎡	62240元/㎡	568万元
新上东四环沿海赛洛城二期，全明格局 看房随时 满五年	93.5㎡	53263元/㎡	498万元
武夷花园牡丹园 两居中间楼层 南北通透 无遮挡采光好	93.91㎡	46747元/㎡	439万元
    田村 绿谷雅园     2室 1厅明厨明卫诚心出售	80.08㎡	59941元/㎡	480万元
老山北里板楼 年前400的房子，临地铁 满五 南北通透	69.48㎡	48792元/㎡	339万元
朝青 大悦城 青年汇佳园 东南两居室 保养好	72㎡	76389元/㎡	550万元
私家房源一东城区和平里安定门一总价美丽一新出速售一全明格局	46.63㎡	94360元/㎡	440万元
玉桥商圈 合生滨江帝景二期 新登记 南向两居 电梯房 诚意售	90.56㎡	48035元/㎡	435万元
东坝龙湖天璞首套首 付119 W含用含税有钥匙急售	89.84㎡	63447元/㎡	570万元
找我成本低 从业10年 常青藤三期D区边户三居 不临街	90.2㎡	77051元/㎡	695万元
龙山华府 三室两厅两卫	125.18㎡	36588元/㎡	458万元
朝阳区东坝金隅景和园七区3室1厅	89.59㎡	56926元/㎡	510万元
七里庄 庄维花园一期 2室1厅 高楼层 不临街 商品房满五年	87㎡	59426元/㎡	517万元
鸟巢附近，南沙滩五建小区2室1厅，1997年的公房，板楼6层	68.21㎡	60109元/㎡	410万元
地铁新房，要带大院现房的来！种菜！带园子可烧烤，带装修	91.93㎡	42424元/㎡	390万元
优选好房 富力又一城C区经典户型 动静分离 私密性强	90.33㎡	56460元/㎡	510万元
新出金科帕提欧 正规商品房 双卫 板楼 精装修 有电梯	96.67㎡	49654元/㎡	480万元
金隅万科一期 户型方正 客厅朝南 集中供暖 价格能谈	90.77㎡	36136元/㎡	328万元
金隅万科城南北的小三居 带落地窗	87.69㎡	45046元/㎡	395万元
松榆西里 精装修南北两居 低楼层 业主诚心出售	58.7㎡	57070元/㎡	335万元
（免，收，拥，金）长安新城南北两居，满五，诚售	87.49㎡	59207元/㎡	518万元
彩虹城一区，南北两居室，2004年商品房社区	90.4㎡	57301元/㎡	518万元
金台路 万科公园五号小户型    价	57.05㎡	63103元/㎡	360万元
海淀北五环刚需好房！双卫两居~可种花养草~惊喜价~满五年	91.14㎡	76586元/㎡	698万元
望园东里   南北通透  一室一厅    诚心出售	69.05㎡	55033元/㎡	380万元
龙山华府 两室两厅一卫 满五	86.74㎡	35739元/㎡	310万元
方庄地铁房 南向精装修两居室 满五  仅  	72㎡	66667元/㎡	480万元
车公庄 西直门外南路 铁路巷小区 南北通透精装修两居室	57.9㎡	103282元/㎡	598万元
安家 清河 清缘里 电梯 跃层3居室 南北通透 高楼层采光好	87.28㎡	64735元/㎡	565万元
丽泽景园 全南两居室 看房方便 地铁旁 观景户型	78.76㎡	73007元/㎡	575万元
北京怡园 三室一厅一卫	95.75㎡	42820元/㎡	410万元
和平街十三区南北通透四居室	94.25㎡	74059元/㎡	698万元
朝青  珠江罗马嘉园西区  2室  1厅	92.09㎡	75905元/㎡	699万元
保利罗兰香谷 满五   低容积 刚需两居 集中供暖   清晰	86.07㎡	42989元/㎡	370万元
总监推荐海淀玉泉路2014年新建小区南北向两居室业主诚心出售	82.58㎡	55704元/㎡	460万元
（点位零点二）六号线 常营丽景园 三居室必看好房	89.54㎡	42998元/㎡	385万元
新上清河 永泰东里 东西南向  三居室 简单装修	69.9㎡	60086元/㎡	420万元
北京南站  开阳里六区  2室  1厅	77.27㎡	63415元/㎡	490万元
保利紫荆香谷北区南北通透 99平3居电梯房 有钥匙	99㎡	45455元/㎡	450万元
亦庄海梓府卧室阳台两居，    ，保养好业主自住，诚意出售	81.45㎡	73543元/㎡	599万元
466.W 酒仙桥丽都壹号 南北园林风格 高素质年轻人法拍房	85.14㎡	76110元/㎡	648万元
北京风景65号院 落地窗 无遮挡 采光充足 次顶层 不把边	104.23㎡	39241元/㎡	409万元
有房本 315澫 大井 彩虹家园南北通透 随时看 价格可谈	88㎡	36819元/㎡	324万元
潘家园华威北里2室1厅，南北通透满五年工行家属楼，采光好	72.37㎡	51956元/㎡	376万元
您今天随时可看房，农大小户型，首付200多，南北一梯两户	70.23㎡	76748元/㎡	539万元
团结湖北四条2室1厅 中楼层 前后无遮挡 南北通透	61.85㎡	64350元/㎡	398万元
新出 东南两居室 满五年 0个税  全天采光	72.23㎡	73239元/㎡	529万元
（国贸  房）老业主独！家委托，有钥匙随时看，刚需上车必看	55㎡	78182元/㎡	430万元
盛鑫嘉园 商圈成熟 交通便利 商品住宅 10号线泥洼站电梯房	85.78㎡	66450元/㎡	570万元
华阳一居 精装中高层 14号线朝阳公园站400米 急售方便看	78.21㎡	71475元/㎡	559万元
沿海赛洛城(北区) 精装修 商业配套齐全   清晰 交通便利	60.66㎡	55721元/㎡	338万元
丽泽商务区 新上全南向2居，满5一套商品房，10号线地铁	76.4㎡	57461元/㎡	439万元
潘家园三环里，地铁10号线17号线，电梯楼，双南朝向，带装修	61.85㎡	56427元/㎡	349万元
团结湖北四条小区 中楼层 前后无遮挡 南北通透 看房方便诚售	61.35㎡	59495元/㎡	365万元
国美  城，高层采光好，地暖房，不临街安静	102.01㎡	52936元/㎡	540万元
刘家窑同仁园 五号线地铁 位置好格局 金角位置	82.75㎡	54139元/㎡	448万元
南北通透 大两房 正规商品房 板楼 低密度社区 满五	91.01㎡	42853元/㎡	390万元
海淀万柳蜂鸟家园 新上一居室户型方正 朝向好 看房随时	43.06㎡	125407元/㎡	540万元
世贸天阶    4点15 全新装修 中骏世界城 豪华一居	76.54㎡	49648元/㎡	380万元
东三环美景东方两居室正对小区人工湖无遮挡视野好观景房	105.79㎡	68816元/㎡	728万元
方庄精装三室两厅，南北通透满五  ，全明格局近地铁看房方便！	81.66㎡	63434元/㎡	518万元
亚运村  慧忠里.客厅带窗户.中间楼层 .	52.35㎡	87871元/㎡	460万元
方庄芳群园四区 2室1厅 正南向 精装修	71㎡	58874元/㎡	418万元
南二环 开阳里六区 电梯正规2居 视野采光俱佳 诚意出售	83.61㎡	62194元/㎡	520万元
角门西里晨新园小区 集中供暖 满五   商品房 医疗配套成熟	66.77㎡	65299元/㎡	436万元
望园东里 必卖好房 曾经的梦想，如今的好房，只要4   元	81㎡	55556元/㎡	450万元
劲松地铁边，潘家园东里，电梯直达，中间层，南向大两居	60.13㎡	53219元/㎡	320万元
金色漫香苑~经典大3居~格局无浪费~电梯房~价可议	135.61㎡	37608元/㎡	510万元
南向一居室，近地铁，  社区，国贸后  ，随时看房	60.77㎡	75202元/㎡	457万元
西城区 广安门 达官营716号线 满五年 双南向 户型方正	72.76㎡	89060元/㎡	648万元
新上 精装 有车位 南三环 地铁十号线石榴庄站 彩虹城南向	87.57㎡	61094元/㎡	535万元
三合庄园7号院,2居室,2厅	86.72㎡	39207元/㎡	340万元
新上丰益桥商圈 满五年一套的两居室  诚心出售 急售	96.62㎡	55683元/㎡	538万元
海淀区清河福美苑3室1厅	89.53㎡	66794元/㎡	598万元
常营  保利嘉园三号院  2室  1厅	87.99㎡	46597元/㎡	410万元
团结湖北二条，94年板楼，民航单位家属楼，中间层全明两居	63.93㎡	59441元/㎡	380万元
婚房2居，中高楼层，采光好， 全屋落地窗，正对中间园林	67.65㎡	76867元/㎡	520万元
新上，定慧北里，低楼层，双南向，两居室诚售	63.61㎡	75460元/㎡	480万元
海淀区 清河观澳园 带电梯全南两居室 双阳台户型	66.87㎡	69538元/㎡	465万元
奥园四期 小户型 低总价两居 高层采光视野很棒	73.05㎡	69131元/㎡	505万元
首都商务新区 珠江骏景 配套成熟 电梯房 近地铁   清晰	87.51㎡	61136元/㎡	535万元
朱辛庄2011年领秀慧谷 精装修南北通透两居室 自住诚心出售	80.97㎡	50390元/㎡	408万元
劲松 农光里小区 南向两居 双阳台 带储物间 采光很棒	53.01㎡	60366元/㎡	320万元
中海城！12年次新房！眼睛户型2居！婚房装修！双卫设计！	111.05㎡	53940元/㎡	599万元
金科廊桥水岸 3室2厅2卫1阳台 南北双通透 三阳户型 中	134.67㎡	44480元/㎡	599万元
CBD景观房 金台路地铁 华业玫瑰东方1居 顶好楼层 随时看	70.38㎡	84968元/㎡	598万元
新上鑫兆雅园北区次顶层两居室 满五  视野棒 商品房阳光充足	86.29㎡	60842元/㎡	525万元
智汇雅苑南北通透 精装修	83.48㎡	41927元/㎡	350万元
大区必卖建外大街 永安里 中楼层不临街 全明户型  满五	50.6㎡	70159元/㎡	355万元
新上西二旗智学苑西南向两居，商品房 ，满五年，高楼层，视野好	98.15㎡	52879元/㎡	519万元
新上次顶层 总监推荐  全南两居 视野好采光足 地铁100米	85.39㎡	54457元/㎡	465万元
交易有保单 安心购 必看好房 玺萌鹏苑 视野好 精装拎包入住	66.89㎡	56511元/㎡	378万元
新上  洋房，满五  ，双通透，空间宽大，门前有空间	90.51㎡	69164元/㎡	626万元
东坝汇景苑 南向两居室 有钥匙 出门地铁口	85.28㎡	43973元/㎡	375万元
新上 宋家庄地铁旁两居室 南向大落地窗！！	95.72㎡	58400元/㎡	559万元
丽景长安 次顶层 视野好 采光好 诚意出售	88.79㎡	35477元/㎡	315万元
西三旗  常秀家园  东南北朝向三居室  满五年 格局好	81㎡	54321元/㎡	440万元
新上 方庄地铁芳城园一区大客厅两居 精装修 正对小区公园！	70㎡	58572元/㎡	410万元
精装好房 刚需两居 板楼 近地铁 双卫 医疗配套成熟	89.33㎡	54853元/㎡	490万元
急售望京新城 三居 满五年   视野开阔 无遮挡	96.32㎡	65407元/㎡	630万元
地铁口 保利春天里 已知底价 业主急售 随时可看	96.13㎡	37658元/㎡	362万元
北街家园七区 2室2厅  精装修 中间楼层 看房方便	89㎡	37978元/㎡	338万元
白堆子 阜成路 甘家口小区 出售南北通透两居室 看房方便	61.4㎡	81271元/㎡	499万元
潘家园南北通透全明三居，满五  ，双地铁，一梯两户，邻龙潭湖	73.41㎡	51492元/㎡	378万元
东南向 精致装修 拎包入住 全天采光 使用率高 可给周期换房	77.26㎡	88015元/㎡	680万元
世华泊郡 小区中心位置 南向精装两居 诚意出售 满五  	84.75㎡	71977元/㎡	610万元
婚房装修 央企开发 视野广 车位充足 诚意卖 看房方便	87.04㎡	66062元/㎡	575万元
京 银泰万科西华府南北通透两居 诚心卖 随时签约！	89.09㎡	61736元/㎡	550万元
长滩壹号 三室一厅一卫 满五	92.02㎡	41187元/㎡	379万元
商品房，满五一套，双卧朝南，中间位置，安静，采光好，房龄新	88.71㎡	56251元/㎡	499万元
十里堡 都会华庭 全南大两居 动性大 诚意出售 户型方正	97.74㎡	39902元/㎡	390万元
必看好房 一层两居 有  车位 金色漫香林(四期) 随时看房	75.96㎡	57926元/㎡	440万元
国锐金嵿 两居室 2 9 O 明厨明卫 车位 家具	83㎡	36868元/㎡	306万元
紫竹桥车道沟南里两居室，小区中间位置，比较安静，采光无遮挡。	49.8㎡	84338元/㎡	420万元
只有  .次新房 .精装南北两居. 看房随时	71.57㎡	51000元/㎡	365万元
回龙观 精装好房 商圈成熟 商品房 交通便捷 有电梯 近医院	87.09㎡	42485元/㎡	370万元
新上 四环内 定慧福里北区 电梯两居室 满五年 近地铁诚售	76.6㎡	69844元/㎡	535万元
枣园小区,2居室,2厅	89.62㎡	36823元/㎡	330万元
（必看好房）方正一室一厅，满五年低总价，安静不临街，落地飘窗	58㎡	98621元/㎡	572万元
西二环边17年次新房板楼南北通透两居 近地铁 丽泽金融街	87.9㎡	66895元/㎡	588万元
紫竹桥  车道沟南里  业主急售！满五年  采光好！	53.92㎡	81046元/㎡	437万元
紧邻地铁8号线，电梯中间楼层，南北通透全明格局，大客厅	81.81㎡	50728元/㎡	415万元
富川力荐 西山甲一号 有钥匙 高层 双卧朝南 精装3室 科技	128.47㎡	52931元/㎡	680万元
新华街三里 电梯南向两居  双地铁	88.22㎡	50443元/㎡	445万元
天坛医院旁 商品房 新上东南北向两居 次顶层 明厨明卫采光好	93.43㎡	59938元/㎡	560万元
急售 亦园两居室 不临街满五    有车位	88.24㎡	58931元/㎡	520万元
总价可聊 高层观景 超高性价比 随时看房 装修好	76.14㎡	48595元/㎡	370万元
和成璟园 楼龄新 电梯房 商品房 小三房 满五   板楼亦庄	93㎡	52474元/㎡	488万元
汤泉墅 云岗 南宫 电梯高层 三室两卫 人车分流	124.28㎡	36853元/㎡	458万元
7419号线 牛街 菜市口 通透两居 随时看 低总价	72.36㎡	77115元/㎡	558万元
交易有保单 安心购 新新天第2室1厅	78.76㎡	57771元/㎡	455万元
(真实保证)万兴路2号院2室	86.62㎡	51952元/㎡	450万元
西三环内（翠小，人翠，范围内社区）低总价精装两居，价格还能谈	62.3㎡	87962元/㎡	548万元
（翠小，人翠）（西三环内社区低总价，低单价）（谈价空间大）	63.5㎡	87402元/㎡	555万元
车道沟南里 航天部社区的板楼 南北通透两居 看房随时	53.9㎡	83488元/㎡	450万元
